Date,Day ,Month,Year,Quarter,Open,High,Low,Close,Volume
02-08-1993,Monday,August,1993,Q3,0.212863,0.220458,0.211173,0.21469,256141940.8
03-08-1993,Tuesday,August,1993,Q3,0.218661,0.220458,0.216873,0.218661,208979866.8
04-08-1993,Wednesday,August,1993,Q3,0.220458,0.2298,0.218661,0.228042,287746951.5
05-08-1993,Thursday,August,1993,Q3,0.231954,0.231954,0.218661,0.22261,247932391.5
06-08-1993,Friday,August,1993,Q3,0.220458,0.228042,0.220458,0.220458,149112316.3
09-08-1993,Monday,August,1993,Q3,0.220458,0.228042,0.218661,0.224329,191141628.8
10-08-1993,Tuesday,August,1993,Q3,0.22261,0.224329,0.212863,0.21469,180916118
11-08-1993,Wednesday,August,1993,Q3,0.21469,0.21469,0.20357,0.207431,197719885.7
12-08-1993,Thursday,August,1993,Q3,0.207431,0.209308,0.196033,0.199699,400453081.1
13-08-1993,Friday,August,1993,Q3,0.199699,0.209308,0.197879,0.206343,164377629.3
16-08-1993,Monday,August,1993,Q3,0.207431,0.211173,0.205464,0.207431,121313663.2
17-08-1993,Tuesday,August,1993,Q3,0.209308,0.21469,0.205464,0.213782,128104128.8
18-08-1993,Wednesday,August,1993,Q3,0.218661,0.224329,0.212863,0.21469,223476020.9
19-08-1993,Thursday,August,1993,Q3,0.216873,0.216873,0.207431,0.207431,180146907.4
20-08-1993,Friday,August,1993,Q3,0.209308,0.211173,0.20357,0.211173,118342822.8
23-08-1993,Monday,August,1993,Q3,0.211173,0.216873,0.207431,0.213782,107971377.7
24-08-1993,Tuesday,August,1993,Q3,0.212863,0.216873,0.209308,0.211173,119907817.7
25-08-1993,Wednesday,August,1993,Q3,0.211173,0.212863,0.201741,0.205464,172613704.7
26-08-1993,Thursday,August,1993,Q3,0.205464,0.205464,0.199699,0.20266,208582035.4
27-08-1993,Friday,August,1993,Q3,0.20357,0.20357,0.197879,0.199699,220929596.7
30-08-1993,Monday,August,1993,Q3,0.199699,0.199699,0.195133,0.196033,324152950.8
31-08-1993,Tuesday,August,1993,Q3,0.199699,0.201741,0.196033,0.199699,151419906.6
01-09-1993,Wednesday,September,1993,Q3,0.199699,0.201741,0.194165,0.196942,267110209
02-09-1993,Thursday,September,1993,Q3,0.196033,0.197879,0.190265,0.194165,334245846.3
03-09-1993,Friday,September,1993,Q3,0.196033,0.196033,0.190265,0.194165,192945401.9
07-09-1993,Tuesday,September,1993,Q3,0.196033,0.20357,0.194165,0.197879,169974419.5
08-09-1993,Wednesday,September,1993,Q3,0.197879,0.20357,0.196033,0.201741,268370176.8
09-09-1993,Thursday,September,1993,Q3,0.201741,0.20357,0.196033,0.196033,177069964.8
10-09-1993,Friday,September,1993,Q3,0.197879,0.197879,0.191174,0.197879,159258186
13-09-1993,Monday,September,1993,Q3,0.197879,0.199699,0.186759,0.190265,302892940.2
14-09-1993,Tuesday,September,1993,Q3,0.182719,0.188457,0.180981,0.182719,327588052.6
15-09-1993,Wednesday,September,1993,Q3,0.184585,0.188457,0.177355,0.184585,305187340.9
16-09-1993,Thursday,September,1993,Q3,0.182719,0.188457,0.182719,0.186759,101790994.6
17-09-1993,Friday,September,1993,Q3,0.183646,0.192468,0.182719,0.190265,203714607.5
20-09-1993,Monday,September,1993,Q3,0.190265,0.192468,0.186759,0.187608,131486097.5
21-09-1993,Tuesday,September,1993,Q3,0.186759,0.190265,0.180092,0.184585,173475739.9
22-09-1993,Wednesday,September,1993,Q3,0.182719,0.192468,0.182719,0.192468,130836263.9
23-09-1993,Thursday,September,1993,Q3,0.192468,0.192468,0.184585,0.186759,155067163.4
24-09-1993,Friday,September,1993,Q3,0.188457,0.190265,0.184585,0.188457,90676908.5
27-09-1993,Monday,September,1993,Q3,0.188457,0.190265,0.182719,0.186759,134019276.4
28-09-1993,Tuesday,September,1993,Q3,0.186759,0.188457,0.182719,0.186759,111963483.6
29-09-1993,Wednesday,September,1993,Q3,0.182719,0.187608,0.179144,0.180092,280346368
30-09-1993,Thursday,September,1993,Q3,0.180981,0.180981,0.173416,0.176152,325532268.2
01-10-1993,Friday,October,1993,Q4,0.171627,0.173416,0.169434,0.171627,397866896.7
04-10-1993,Monday,October,1993,Q4,0.170707,0.173416,0.16592,0.171627,228356676.9
05-10-1993,Tuesday,October,1993,Q4,0.173416,0.180981,0.173416,0.177355,208780945
06-10-1993,Wednesday,October,1993,Q4,0.179144,0.180981,0.176152,0.178305,207560776
07-10-1993,Thursday,October,1993,Q4,0.177355,0.179144,0.171627,0.173416,159748866.2
08-10-1993,Friday,October,1993,Q4,0.175192,0.175192,0.167627,0.170707,165080485.8
11-10-1993,Monday,October,1993,Q4,0.171627,0.180981,0.171627,0.179144,190823293.6
12-10-1993,Tuesday,October,1993,Q4,0.180981,0.188457,0.179144,0.180981,362760582.9
13-10-1993,Wednesday,October,1993,Q4,0.182719,0.182719,0.177355,0.180981,209603270.6
14-10-1993,Thursday,October,1993,Q4,0.180981,0.184585,0.177355,0.179144,190279588.5
15-10-1993,Friday,October,1993,Q4,0.209308,0.21469,0.201741,0.212863,1131173252
18-10-1993,Monday,October,1993,Q4,0.211173,0.216873,0.209308,0.213782,394325738.1
19-10-1993,Tuesday,October,1993,Q4,0.212863,0.21469,0.205464,0.209308,252905941
20-10-1993,Wednesday,October,1993,Q4,0.211173,0.212863,0.205464,0.209308,163900097.2
21-10-1993,Thursday,October,1993,Q4,0.207431,0.23553,0.205464,0.228042,742603524.6
22-10-1993,Friday,October,1993,Q4,0.2298,0.237672,0.224329,0.228042,469021150.8
25-10-1993,Monday,October,1993,Q4,0.228042,0.2298,0.22348,0.226186,259484173.6
26-10-1993,Tuesday,October,1993,Q4,0.224329,0.226186,0.218661,0.224329,263449694.7
27-10-1993,Wednesday,October,1993,Q4,0.226186,0.243126,0.224329,0.239442,543610416.6
28-10-1993,Thursday,October,1993,Q4,0.239442,0.243126,0.233753,0.233753,289484313.7
29-10-1993,Friday,October,1993,Q4,0.233753,0.239442,0.2298,0.231954,162069862.8
01-11-1993,Monday,November,1993,Q4,0.231954,0.237672,0.228042,0.237672,125491438.5
02-11-1993,Tuesday,November,1993,Q4,0.23553,0.248853,0.233753,0.246946,265545208.1
03-11-1993,Wednesday,November,1993,Q4,0.248853,0.248853,0.233753,0.238641,209550182
04-11-1993,Thursday,November,1993,Q4,0.237672,0.243126,0.231954,0.243126,219510539.3
05-11-1993,Friday,November,1993,Q4,0.240408,0.243126,0.231954,0.240408,447654968.1
08-11-1993,Monday,November,1993,Q4,0.241218,0.242137,0.2298,0.231954,197746438.1
09-11-1993,Tuesday,November,1993,Q4,0.233753,0.23553,0.224329,0.227125,202786304.2
10-11-1993,Wednesday,November,1993,Q4,0.228042,0.231954,0.226186,0.231954,91154373.8
11-11-1993,Thursday,November,1993,Q4,0.231954,0.241218,0.2298,0.236438,168661390.4
12-11-1993,Friday,November,1993,Q4,0.237672,0.241218,0.2298,0.239442,170120285.1
15-11-1993,Monday,November,1993,Q4,0.237672,0.246946,0.237672,0.241218,186035503.7
16-11-1993,Tuesday,November,1993,Q4,0.241218,0.258128,0.239442,0.256389,358901217.7
17-11-1993,Wednesday,November,1993,Q4,0.256389,0.263906,0.246946,0.252706,358357386.1
18-11-1993,Thursday,November,1993,Q4,0.252706,0.254542,0.248853,0.252706,135478167
